,Precision,Recall,F1 Score
0,0.9432624113475178,0.9366197183098591,0.9399293286219081
1,0.9565217391304348,0.7857142857142857,0.8627450980392157
2,0.9620253164556962,0.9806451612903225,0.9712460063897763
3,0.8651685393258427,0.9685534591194969,0.913946587537092
4,0.900990099009901,0.978494623655914,0.9381443298969072
5,0.9635416666666666,0.9487179487179487,0.9560723514211886
6,0.9379310344827586,0.8553459119496856,0.8947368421052632
7,0.8666666666666667,0.7761194029850746,0.8188976377952756
8,0.75,0.5555555555555556,0.6382978723404256
9,0.9333333333333333,0.7777777777777778,0.8484848484848485
10,0.9538461538461539,0.9587628865979382,0.9562982005141388
11,0.9330143540669856,1.0,0.9653465346534653
12,0.9473684210526315,0.9171974522292994,0.9320388349514563
13,0.9917355371900827,0.9448818897637795,0.967741935483871
14,0.8646616541353384,0.8455882352941176,0.8550185873605948
15,0.8742138364779874,0.9144736842105263,0.8938906752411575
16,0.9487179487179487,0.9736842105263158,0.961038961038961
17,0.9333333333333333,0.875,0.9032258064516129
18,0.9345794392523364,0.9615384615384616,0.9478672985781991
19,0.9352941176470588,0.9875776397515528,0.9607250755287009
